url,label,kind,paint_type,color,color_family,glans,full_code,sku,product_handle,slug
https://www.denlillemalerfabrik.dk/qr/dlm10-0801-g10,Vægmaling — Rødler · Glans 10,color,Vægmaling,Rødler,,10,DLM10-0801,DLM10-0801-G10-10L,vaegmaling-glans-10,/qr/dlm10-0801-g10
https://www.denlillemalerfabrik.dk/qr/dlm10-0801-g20,Vægmaling — Rødler · Glans 20,color,Vægmaling,Rødler,,20,DLM10-0801,DLM10-0801-G20-10L,vaegmaling-glans-20,/qr/dlm10-0801-g20
https://www.denlillemalerfabrik.dk/qr/dlm10-0802-g5,Vægmaling — Murstensrød · Glans 5,color,Vægmaling,Murstensrød,,5,DLM10-0802,DLM10-0802-G5-10L,vaegmaling-glans-5,/qr/dlm10-0802-g5
https://www.denlillemalerfabrik.dk/qr/dlm10-0802-g7,Vægmaling — Murstensrød · Glans 7,color,Vægmaling,Murstensrød,,7,DLM10-0802,DLM10-0802-G7-10L,vaegmaling-glans-7,/qr/dlm10-0802-g7
https://www.denlillemalerfabrik.dk/qr/dlm10-0802-g10,Vægmaling — Murstensrød · Glans 10,color,Vægmaling,Murstensrød,,10,DLM10-0802,DLM10-0802-G10-10L,vaegmaling-glans-10,/qr/dlm10-0802-g10
https://www.denlillemalerfabrik.dk/qr/dlm10-0802-g20,Vægmaling — Murstensrød · Glans 20,color,Vægmaling,Murstensrød,,20,DLM10-0802,DLM10-0802-G20-10L,vaegmaling-glans-20,/qr/dlm10-0802-g20
https://www.denlillemalerfabrik.dk/qr/dlm10-0803-g5,Vægmaling — Kastanje · Glans 5,color,Vægmaling,Kastanje,,5,DLM10-0803,DLM10-0803-G5-10L,vaegmaling-glans-5,/qr/dlm10-0803-g5
https://www.denlillemalerfabrik.dk/qr/dlm10-0803-g7,Vægmaling — Kastanje · Glans 7,color,Vægmaling,Kastanje,,7,DLM10-0803,DLM10-0803-G7-10L,vaegmaling-glans-7,/qr/dlm10-0803-g7
https://www.denlillemalerfabrik.dk/qr/dlm10-0803-g10,Vægmaling — Kastanje · Glans 10,color,Vægmaling,Kastanje,,10,DLM10-0803,DLM10-0803-G10-10L,vaegmaling-glans-10,/qr/dlm10-0803-g10
https://www.denlillemalerfabrik.dk/qr/dlm10-0803-g20,Vægmaling — Kastanje · Glans 20,color,Vægmaling,Kastanje,,20,DLM10-0803,DLM10-0803-G20-10L,vaegmaling-glans-20,/qr/dlm10-0803-g20
https://www.denlillemalerfabrik.dk/qr/dlm10-0804-g5,Vægmaling — Mørk Jord · Glans 5,color,Vægmaling,Mørk Jord,,5,DLM10-0804,DLM10-0804-G5-10L,vaegmaling-glans-5,/qr/dlm10-0804-g5
https://www.denlillemalerfabrik.dk/qr/dlm10-0804-g7,Vægmaling — Mørk Jord · Glans 7,color,Vægmaling,Mørk Jord,,7,DLM10-0804,DLM10-0804-G7-10L,vaegmaling-glans-7,/qr/dlm10-0804-g7
https://www.denlillemalerfabrik.dk/qr/dlm10-0804-g10,Vægmaling — Mørk Jord · Glans 10,color,Vægmaling,Mørk Jord,,10,DLM10-0804,DLM10-0804-G10-10L,vaegmaling-glans-10,/qr/dlm10-0804-g10
https://www.denlillemalerfabrik.dk/qr/dlm10-0804-g20,Vægmaling — Mørk Jord · Glans 20,color,Vægmaling,Mørk Jord,,20,DLM10-0804,DLM10-0804-G20-10L,vaegmaling-glans-20,/qr/dlm10-0804-g20
https://www.denlillemalerfabrik.dk/qr/alkyd-trae-grundingsolie,Alkyd træ grundingsolie,sortiment,spartel-forbehandling,,,,,,alkyd-trae-grundingsolie,/qr/alkyd-trae-grundingsolie
https://www.denlillemalerfabrik.dk/qr/grundingsolie-vandig,Grundingsolie vandig,sortiment,spartel-forbehandling,,,,,,grundingsolie-vandig,/qr/grundingsolie-vandig
https://www.denlillemalerfabrik.dk/qr/grundingsolie-vandig-industri,Grundingsolie vandig (industri),sortiment,spartel-forbehandling,,,,,,grundingsolie-vandig-industri,/qr/grundingsolie-vandig-industri
https://www.denlillemalerfabrik.dk/qr/letspartel-finish,Letspartel (Finish),sortiment,spartel-forbehandling,,,,,,letspartel-finish,/qr/letspartel-finish
https://www.denlillemalerfabrik.dk/qr/microdispers-blatonet-inde-ude,"Microdispers (blåtonet, inde/ude)",sortiment,spartel-forbehandling,,,,,,microdispers-blatonet-inde-ude,/qr/microdispers-blatonet-inde-ude
https://www.denlillemalerfabrik.dk/qr/microdispers-microgrunder-hvidpigmenteret,Microdispers Microgrunder (hvidpigmenteret),sortiment,spartel-forbehandling,,,,,,microdispers-microgrunder-hvidpigmenteret,/qr/microdispers-microgrunder-hvidpigmenteret
https://www.denlillemalerfabrik.dk/qr/microdispersgrunder-tixotropisk,Microdispersgrunder (tixotropisk),sortiment,spartel-forbehandling,,,,,,microdispersgrunder-tixotropisk,/qr/microdispersgrunder-tixotropisk
https://www.denlillemalerfabrik.dk/qr/sandspartel-fin,Sandspartel Fin,sortiment,spartel-forbehandling,,,,,,sandspartel-fin,/qr/sandspartel-fin
https://www.denlillemalerfabrik.dk/qr/sandspartel-medium,Sandspartel Medium,sortiment,spartel-forbehandling,,,,,,sandspartel-medium,/qr/sandspartel-medium
https://www.denlillemalerfabrik.dk/qr/vadrumsspartel,Vådrumsspartel,sortiment,spartel-forbehandling,,,,,,vadrumsspartel,/qr/vadrumsspartel
